Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,242348657,3109.2103682569436,2890562,37.084444583860545,445284,4927723,63.22018711866933,47798,0.6132241004411485,7153,
United States of America,Americas,44940696,13577.141,532084,160.749,74227,726846,219.589,11667,3.525,1613
India,South-East Asia,34143236,2474.14,105644,7.655,15786,453042,32.829,1228,0.089,231
Brazil,Americas,21680488,10199.731,82539,38.831,15609,604228,284.263,2654,1.249,373
The United Kingdom,Europe,8641225,12729.023,323782,476.95,51484,139146,204.97,909,1.339,115
Russian Federation,Europe,8168305,5597.242,243129,166.602,37141,228453,156.545,7140,4.893,1064
Turkey,Europe,7772604,9215.9,201672,239.121,28465,68472,81.187,1428,1.693,198
France,Europe,6886851,10588.744,32063,49.298,5498,115036,176.871,170,0.261,29
Iran (Islamic Republic of),Eastern Mediterranean,5833525,6945.256,79478,94.625,11788,124763,148.54,1265,1.506,178
Argentina,Americas,5275984,11673.622,7331,16.221,1218,115770,256.152,188,0.416,33
Spain,Europe,4995176,10553.349,10781,22.777,938,87102,184.021,67,0.142,6
Colombia,Americas,4984751,9796.517,9095,17.874,1224,126931,249.457,205,0.403,21
Italy,Europe,4729678,7930.181,19925,33.408,3791,131724,220.86,263,0.441,36
Germany,Europe,4437280,5335.404,83122,99.946,19572,94991,114.218,465,0.559,116
Indonesia,South-East Asia,4238594,1549.626,5580,2.04,760,143153,52.337,264,0.097,33
Mexico,Americas,3767758,2922.266,29009,22.499,5069,285347,221.315,2154,1.671,422
Poland,Europe,2961923,7803.13,28089,74,5716,76359,201.166,292,0.769,59
South Africa,Africa,2918366,4920.638,3539,5.967,520,88835,149.784,329,0.555,81
Philippines,Western Pacific,2740111,2500.533,41879,38.217,4806,41237,37.631,1016,0.927,260
Ukraine,Europe,2725385,6231.765,114486,261.779,23785,63003,144.06,2866,6.553,614
Malaysia,Western Pacific,2413592,7457.184,43979,135.88,6210,28234,87.234,553,1.709,96
Peru,Americas,2192205,6648.716,5959,18.073,1034,199945,606.411,199,0.604,17
Netherlands,Europe,2064729,11861.088,28165,161.797,5223,18280,105.012,49,0.281,7
Iraq,Eastern Mediterranean,2042117,5077.052,11619,28.887,1882,22875,56.871,194,0.482,39
Thailand,South-East Asia,1831389,2623.767,69199,99.139,9810,18625,26.683,502,0.719,66
Czechia,Europe,1722446,16106.75,16432,153.657,3638,30593,286.078,58,0.542,3
Japan,Western Pacific,1716088,1356.844,2820,2.23,351,18173,14.369,122,0.096,16
Canada,Americas,1690258,4478.435,20024,53.055,2641,28644,75.894,277,0.734,41
Chile,Americas,1676019,8767.532,10103,52.85,1793,37640,196.901,57,0.298,12
Bangladesh,South-East Asia,1566907,951.432,2026,1.23,0,27801,16.881,55,0.033,0
Romania,Europe,1534942,7941.202,104467,540.472,15410,43844,226.832,2704,13.989,357
Israel,Europe,1321258,15264.881,8178,94.483,983,8036,92.842,44,0.508,1
Belgium,Europe,1305678,11331.61,23709,205.764,3,25835,224.215,86,0.746,1
Pakistan,Eastern Mediterranean,1266826,573.504,5141,2.327,622,28328,12.824,127,0.057,16
Sweden,Europe,1165194,11282.343,3934,38.092,789,14986,145.106,8,0.077,0
Portugal,Europe,1082721,10516.031,4758,46.213,865,18117,175.963,46,0.447,8
Serbia,Europe,1078032,15563.417,46749,674.91,7327,9331,134.711,385,5.558,59
Kazakhstan,Europe,1003262,5343.12,12801,68.175,1893,16871,89.851,253,1.347,36
Morocco,Eastern Mediterranean,942967,2554.735,1958,5.305,0,14580,39.501,60,0.163,0
Cuba,Americas,941562,8312.827,12878,113.697,1435,8133,71.804,139,1.227,19
Viet Nam,Western Pacific,877537,901.531,23695,24.343,3636,21487,22.074,537,0.552,71
Switzerland,Europe,857500,9908.005,6102,70.506,0,10751,124.223,15,0.173,0
Jordan,Eastern Mediterranean,846033,8291.893,7510,73.605,0,10903,106.859,56,0.549,0
Hungary,Europe,843825,8637.318,10710,109.627,2548,30492,312.113,141,1.443,24
Nepal,South-East Asia,808096,2773.454,3580,12.287,574,11337,38.91,60,0.206,11
Austria,Europe,784429,8812.755,19288,216.693,3818,10976,123.311,73,0.82,8
United Arab Emirates,Eastern Mediterranean,739018,7472.072,750,7.583,94,2126,21.496,9,0.091,2
Tunisia,Eastern Mediterranean,711164,6017.319,622,5.263,0,25121,212.554,55,0.465,0
Greece,Europe,707587,6601.509,20309,189.475,3376,15519,144.786,230,2.146,34
Georgia,Europe,684337,17154.85,31660,793.648,4155,9657,242.08,261,6.543,40
Lebanon,Eastern Mediterranean,635447,9309.972,3176,46.532,0,8438,123.626,32,0.469,0
Guatemala,Americas,591460,3301.375,6847,38.218,0,14515,81.019,311,1.736,0
Belarus,Europe,580029,6138.314,14164,149.894,2097,4466,47.263,113,1.196,17
Bulgaria,Europe,559893,8054.297,25581,367.993,4816,22839,328.549,737,10.602,120
Costa Rica,Americas,554604,10887.145,5520,108.36,943,6895,135.352,151,2.964,15
Saudi Arabia,Eastern Mediterranean,548111,1574.404,314,0.902,46,8773,25.2,18,0.052,3
Sri Lanka,South-East Asia,533860,2493.129,3439,16.06,0,13562,63.335,113,0.528,0
Ecuador,Americas,514087,2913.821,1061,6.014,0,32937,186.685,38,0.215,0
Azerbaijan,Europe,509862,5028.634,13082,129.024,2005,6829,67.353,109,1.075,20
Bolivia (Plurinational State of),Americas,508166,4353.337,3009,25.777,483,18887,161.8,76,0.651,4
Myanmar,South-East Asia,491584,903.484,5938,10.913,0,18465,33.937,168,0.309,0
Panama,Americas,470855,10912.64,1286,29.805,257,7300,169.186,25,0.579,3
Paraguay,Americas,460615,6457.94,338,4.739,33,16228,227.521,21,0.294,0
"occupied Palestinian territory, including east Jerusalem",Eastern Mediterranean,450310,8827.16,3278,64.257,330,4611,90.387,55,1.078,7
Slovakia,Europe,449775,8240.848,16066,294.364,3470,12886,236.099,70,1.283,3
Croatia,Europe,439447,10828.712,14781,364.229,3258,8985,221.405,123,3.031,17
Ireland,Europe,423260,8525.836,13613,274.21,2026,5369,108.149,63,1.269,0
Kuwait,Eastern Mediterranean,412424,9657.35,196,4.59,0,2458,57.557,3,0.07,0
Venezuela (Bolivarian Republic of),Americas,396477,1394.281,9084,31.945,1254,4763,16.75,96,0.338,15
Uruguay,Americas,391522,11270.939,1128,32.472,164,6069,174.711,4,0.115,0
Lithuania,Europe,382454,13687.963,18671,668.232,3016,5571,199.385,183,6.55,27
Dominican Republic,Americas,373929,3447.014,5798,53.448,889,4097,37.768,15,0.138,2
Honduras,Americas,373589,3771.871,2158,21.788,383,10170,102.679,105,1.06,22
Denmark,Europe,372533,6397.873,5926,101.773,1247,2696,46.301,20,0.343,2
Ethiopia,Africa,361027,314.036,3477,3.024,524,6316,5.494,175,0.152,29
Libya,Eastern Mediterranean,352192,5125.557,3545,51.591,436,4962,72.213,113,1.645,17
Republic of Korea,Western Pacific,348969,680.66,9608,18.74,1440,2725,5.315,99,0.193,16
Mongolia,Western Pacific,339144,10345.149,8562,261.173,1719,1553,47.372,113,3.447,19
Republic of Moldova,Europe,323469,8018.641,11027,273.354,1787,7386,183.095,249,6.173,40
Egypt,Eastern Mediterranean,321084,313.76,5242,5.122,0,18105,17.692,259,0.253,0
Slovenia,Europe,314162,14989.639,9197,438.817,1845,5007,238.899,10,0.477,1
Oman,Eastern Mediterranean,304116,5955.322,91,1.782,15,4107,80.425,4,0.078,0
Armenia,Europe,291052,9822.107,12621,425.92,2146,5944,200.592,231,7.796,42
Bahrain,Eastern Mediterranean,276336,16240.013,424,24.918,0,1392,81.807,1,0.059,0
Kenya,Africa,252375,469.349,706,1.313,67,5238,9.741,36,0.067,0
Bosnia and Herzegovina,Europe,247182,7534.165,3962,120.763,627,11283,343.908,205,6.248,30
Qatar,Eastern Mediterranean,238165,8266.596,424,14.717,0,608,21.103,1,0.035,0
Nigeria,Africa,209960,101.853,1556,0.755,247,2850,1.383,89,0.043,10
Zambia,Africa,209589,1140.065,158,0.859,18,3658,19.898,1,0.005,0
Algeria,Africa,205599,468.858,594,1.355,70,5881,13.411,17,0.039,3
North Macedonia,Europe,198646,9534.794,2684,128.829,490,7012,336.568,84,4.032,11
Norway,Europe,198157,3691.738,2902,54.065,658,893,16.637,8,0.149,0
Latvia,Europe,197389,10347.098,16949,888.464,3133,2992,156.84,123,6.448,25
Botswana,Africa,184919,7863.449,3063,130.25,868,2396,101.887,10,0.425,7
Puerto Rico,Americas,183747,6422.805,805,28.138,119,3215,112.379,14,0.489,2
Uzbekistan,Europe,182819,546.231,2657,7.939,398,1300,3.884,17,0.051,3
Kyrgyzstan,Europe,180348,2764.297,667,10.223,125,2647,40.572,18,0.276,4
Albania,Europe,180029,6255.786,3362,116.825,566,2855,99.208,58,2.015,6
Estonia,Europe,178610,13439.671,8451,635.903,1323,1444,108.655,29,2.182,0
Singapore,Western Pacific,162026,2769.513,23699,405.087,3439,280,4.786,73,1.248,16
Kosovo[1],Europe,160547,8940.805,95,5.291,18,2964,165.064,1,0.056,0
Afghanistan,Eastern Mediterranean,155891,400.456,209,0.537,32,7249,18.621,11,0.028,2
Finland,Europe,153156,2771.908,2832,51.255,449,1136,20.56,8,0.145,4
Australia,Western Pacific,151943,595.858,15808,61.992,2643,1590,6.235,94,0.369,13
Mozambique,Africa,151174,483.673,113,0.362,17,1927,6.165,3,0.01,0
Montenegro,Europe,139467,22205.929,2802,446.134,417,2050,326.401,45,7.165,8
Zimbabwe,Africa,132540,891.749,289,1.944,53,4662,31.367,7,0.047,2
Ghana,Africa,129592,417.057,1224,3.939,0,1169,3.762,11,0.035,0
Namibia,Africa,128414,5053.869,200,7.871,19,3544,139.478,10,0.394,1
Uganda,Africa,125537,274.452,488,1.067,111,3194,6.983,14,0.031,2
China,Western Pacific,125402,8.523,240,0.016,51,5695,0.387,0,0,0
Cyprus,Europe,122996,13850.823,1001,112.725,144,566,63.738,7,0.788,0
Cambodia,Western Pacific,117352,701.909,1477,8.834,151,2704,16.173,120,0.718,11
El Salvador,Americas,110188,1698.805,2524,38.913,0,3532,54.454,97,1.495,12
Cameroon,Africa,100289,377.795,1887,7.108,0,1600,6.027,50,0.188,0
Rwanda,Africa,99286,766.556,301,2.324,36,1316,10.16,3,0.023,2
Jamaica,Americas,87797,2964.946,1075,36.303,74,2133,72.032,74,2.499,4
Maldives,South-East Asia,86550,16011.648,573,106.004,0,240,44.4,3,0.555,0
Luxembourg,Europe,80462,12851.138,834,133.204,131,842,134.482,4,0.639,0
Senegal,Africa,73876,441.211,23,0.137,1,1876,11.204,7,0.042,3
Angola,Africa,63567,193.411,1182,3.596,227,1685,5.127,32,0.097,3
Malawi,Africa,61745,322.766,43,0.225,7,2296,12.002,4,0.021,0
Côte d’Ivoire,Africa,61139,231.778,197,0.747,26,689,2.612,16,0.061,0
Democratic Republic of the Congo,Africa,57432,64.126,163,0.182,30,1091,1.218,2,0.002,0
Trinidad and Tobago,Americas,54623,3903.07,1407,100.537,218,1621,115.828,49,3.501,8
Réunion,Africa,54438,6080.338,414,46.241,414,372,41.55,2,0.223,2
Guadeloupe,Americas,54095,13519.559,259,64.73,0,809,202.187,9,2.249,0
Fiji,Western Pacific,51909,5790.539,261,29.115,0,661,73.736,0,0,0
Suriname,Americas,47477,8093.149,1885,321.326,193,1044,177.965,50,8.523,4
Eswatini,Africa,46380,3997.711,36,3.103,4,1238,106.709,6,0.517,2
French Polynesia,Western Pacific,45515,16202.814,76,27.055,9,635,226.053,3,1.068,0
French Guiana,Americas,43938,14710.629,683,228.671,122,298,99.772,5,1.674,1
Madagascar,Africa,43622,157.531,6,0.022,0,960,3.467,0,0,0
Martinique,Americas,42820,11410.603,454,120.981,72,673,179.34,13,3.464,3
Syrian Arab Republic,Eastern Mediterranean,40294,230.243,2227,12.725,0,2457,14.039,82,0.469,0
Sudan,Eastern Mediterranean,40084,91.413,599,1.366,0,2990,6.819,14,0.032,0
Cabo Verde,Africa,38098,6852.318,122,21.943,16,347,62.412,0,0,0
Malta,Europe,37525,7292.582,113,21.96,17,459,89.202,0,0,0
Mauritania,Africa,36820,791.886,270,5.807,37,791,17.012,5,0.108,0
Guyana,Americas,34726,4414.966,753,95.734,118,881,112.008,30,3.814,4
Gabon,Africa,34281,1540.211,1166,52.387,0,219,9.839,10,0.449,0
Lao People's Democratic Republic,Western Pacific,33998,467.29,3383,46.498,392,49,0.673,13,0.179,2
Guinea,Africa,30605,233.043,45,0.343,0,385,2.932,0,0,0
Papua New Guinea,Western Pacific,26731,298.77,2393,26.746,577,329,3.677,32,0.358,4
United Republic of Tanzania,Africa,26034,43.583,0,0,0,724,1.212,0,0,0
Togo,Africa,25950,313.454,114,1.377,14,240,2.899,3,0.036,0
Belize,Americas,24948,6274.206,1441,362.399,180,471,118.452,20,5.03,5
Benin,Africa,24560,202.587,0,0,0,161,1.328,0,0,0
Haiti,Americas,23406,205.27,364,3.192,0,658,5.771,1,0.009,0
Bahamas,Americas,22154,5633.652,228,57.979,62,630,160.206,8,2.034,4
Seychelles,Africa,22102,22473.487,248,252.168,31,114,115.916,0,0,0
Lesotho,Africa,21557,1006.279,67,3.128,0,655,30.575,0,0,0
Somalia,Eastern Mediterranean,21269,133.824,0,0,0,1180,7.425,0,0,0
Mayotte,Africa,20485,7508.751,46,16.861,21,182,66.712,1,0.367,0
Burundi,Africa,19894,167.306,339,2.851,27,14,0.118,0,0,0
Timor-Leste,South-East Asia,19759,1498.659,56,4.247,10,120,9.102,1,0.076,0
Tajikistan,Europe,17486,183.337,2,0.021,0,125,1.311,0,0,0
