State,Date,PopulationEst_2021,LandArea_sqkm,new_case,new_death,Recovered,Total_Confirmed,Total_Confirmed_per10000,Total_Confirmed_per100SqKm,Total_Recovered,Total_Deceased,Total_Deceased_per10000,Total_Deceased_per100SqKm,Total_Tested,First_Dose_Administered,Partial_Vaccination_per100,Second_Dose_Administered,Full_Vaccination_per100,Male_Vaccinated,Female_Vaccinated,Transgender_Vaccinated,Total_Covaxin_Administered,Total_CoviShield_Administered,Total_SputnikV_Administered,18-45_Age,45-60_Age,60up_Age,Total_Doses_Administered,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Andaman and Nicobar Islands,2020-03-14,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-16,-19,-4,-7,-7,6
Andaman and Nicobar Islands,2020-03-15,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-27,-32,-15,-9,-3,
Andaman and Nicobar Islands,2020-03-16,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-18,-11,-10,-7,-1,2
Andaman and Nicobar Islands,2020-03-17,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-24,-20,-25,-13,-4,4
Andaman and Nicobar Islands,2020-03-18,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-21,-20,-31,-14,-9,1
Andaman and Nicobar Islands,2020-03-19,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-16,-4,-21,-14,-7,1
Andaman and Nicobar Islands,2020-03-20,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-50,-43,-50,-31,-29,12
Andaman and Nicobar Islands,2020-03-21,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-57,-45,-49,-40,-34,16
Andaman and Nicobar Islands,2020-03-22,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-80,-85,-68,-61,-41,
Andaman and Nicobar Islands,2020-03-23,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-61,-43,-60,-45,-44,21
Andaman and Nicobar Islands,2020-03-24,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-67,-48,-62,-46,-52,23
Andaman and Nicobar Islands,2020-03-25,379944,8249,0,0,0,,0,0,,,0,0,,,0,,0,,,,,,,,,,,-80,-76,-68,-64,-63,
Andaman and Nicobar Islands,2020-03-26,379944,8249,1,0,0,1,0.0263197,0.0121227,0,0,0,0,,,0,,0,,,,,,,,,,,-80,-80,-65,-63,-66,
Andaman and Nicobar Islands,2020-03-27,379944,8249,5,0,0,6,0.157918,0.0727361,0,0,0,0,,,0,,0,,,,,,,,,,,-78,-79,-70,-66,-63,
Andaman and Nicobar Islands,2020-03-28,379944,8249,3,0,0,9,0.236877,0.109104,0,0,0,0,,,0,,0,,,,,,,,,,,-75,-74,-67,-66,-57,
Andaman and Nicobar Islands,2020-03-29,379944,8249,0,0,0,9,0.236877,0.109104,0,0,0,0,,,0,,0,,,,,,,,,,,-68,-63,-57,-59,-28,
Andaman and Nicobar Islands,2020-03-30,379944,8249,1,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-69,-60,-62,-61,-56,29
Andaman and Nicobar Islands,2020-03-31,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-72,-64,-64,-60,-56,29
Andaman and Nicobar Islands,2020-04-01,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-75,-65,-67,-63,-58,
Andaman and Nicobar Islands,2020-04-02,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-74,-67,-67,-64,-57,
Andaman and Nicobar Islands,2020-04-03,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-70,-65,-64,-57,
Andaman and Nicobar Islands,2020-04-04,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-72,-67,-65,-49,
Andaman and Nicobar Islands,2020-04-05,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-76,-79,-65,-64,-24,
Andaman and Nicobar Islands,2020-04-06,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-75,,-67,-67,-56,31
Andaman and Nicobar Islands,2020-04-07,379944,8249,0,0,0,10,0.263197,0.121227,0,0,0,0,,,0,,0,,,,,,,,,,,-81,,-71,-77,-56,31
Andaman and Nicobar Islands,2020-04-08,379944,8249,1,0,0,11,0.289516,0.133349,0,0,0,0,,,0,,0,,,,,,,,,,,-83,,-72,-78,-54,29
Andaman and Nicobar Islands,2020-04-09,379944,8249,0,0,10,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-82,,-71,-77,-55,29
Andaman and Nicobar Islands,2020-04-10,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-70,-78,-62,
Andaman and Nicobar Islands,2020-04-11,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-84,,-70,-79,-48,
Andaman and Nicobar Islands,2020-04-12,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-69,-78,-24,
Andaman and Nicobar Islands,2020-04-13,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-80,,-70,-77,-50,28
Andaman and Nicobar Islands,2020-04-14,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-83,,-72,-77,-62,
Andaman and Nicobar Islands,2020-04-15,379944,8249,0,0,0,11,0.289516,0.133349,10,0,0,0,,,0,,0,,,,,,,,,,,-82,,-69,-75,-51,27
Andaman and Nicobar Islands,2020-04-16,379944,8249,0,0,1,11,0.289516,0.133349,11,0,0,0,,,0,,0,,,,,,,,,,,-87,,-69,-79,-52,29
Andaman and Nicobar Islands,2020-04-17,379944,8249,1,0,0,12,0.315836,0.145472,11,0,0,0,1403,,0,,0,,,,,,,,,,,-86,,-70,-80,-49,31
Andaman and Nicobar Islands,2020-04-18,379944,8249,2,0,0,14,0.368475,0.169718,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-72,-82,-46,
Andaman and Nicobar Islands,2020-04-19,379944,8249,1,0,0,15,0.394795,0.18184,11,0,0,0,,,0,,0,,,,,,,,,,,-87,,-71,-83,-25,
Andaman and Nicobar Islands,2020-04-20,379944,8249,1,0,0,16,0.421115,0.193963,11,0,0,0,,,0,,0,,,,,,,,,,,-86,,-72,-80,-49,29
Andaman and Nicobar Islands,2020-04-21,379944,8249,1,0,0,17,0.447434,0.206086,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-82,-52,30
Andaman and Nicobar Islands,2020-04-22,379944,8249,1,0,0,18,0.473754,0.218208,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-73,-81,-51,29
Andaman and Nicobar Islands,2020-04-23,379944,8249,4,0,0,22,0.579033,0.266699,11,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-82,-52,30
Andaman and Nicobar Islands,2020-04-24,379944,8249,7,0,0,29,0.76327,0.351558,11,0,0,0,2679,,0,,0,,,,,,,,,,,-88,,-73,-82,-50,30
Andaman and Nicobar Islands,2020-04-25,379944,8249,4,0,0,33,0.868549,0.400048,11,0,0,0,,,0,,0,,,,,,,,,,,-92,,-74,-86,-55,
Andaman and Nicobar Islands,2020-04-26,379944,8249,0,0,0,33,0.868549,0.400048,11,0,0,0,,,0,,0,,,,,,,,,,,-91,,-72,-85,-28,
Andaman and Nicobar Islands,2020-04-27,379944,8249,0,0,0,33,0.868549,0.400048,11,0,0,0,2848,,0,,0,,,,,,,,,,,-87,,-75,-81,-49,30
Andaman and Nicobar Islands,2020-04-28,379944,8249,0,0,4,33,0.868549,0.400048,15,0,0,0,,,0,,0,,,,,,,,,,,-88,,-71,-81,-50,29
Andaman and Nicobar Islands,2020-04-29,379944,8249,0,0,0,33,0.868549,0.400048,15,0,0,0,,,0,,0,,,,,,,,,,,-91,,-72,-81,-54,32
Andaman and Nicobar Islands,2020-04-30,379944,8249,0,0,1,33,0.868549,0.400048,16,0,0,0,,,0,,0,,,,,,,,,,,-86,,-70,-80,-48,30
