State,Date,new_case,new_death,tot_cases,tot_death,total_vaccinations,people_fully_vaccinated_per_hundred,people_vaccinated_per_hundred,daily_vaccinations,daily_vaccinations_per_million,previous_day_admission_adult_covid_confirmed,previous_day_admission_pediatric_covid_confirmed,new_tests,Number_of_Trips,Population_Staying_at_Home,Number_of_Trips_500miles,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline
Alabama,2021-01-01,2295,81,385488,7207,,,,,,422,1,13253,12478582,1288966,4266,-44,-30,-16,-46,-72,26
Alabama,2021-01-02,3314,78,388802,7285,,,,,,391,2,8449,14951965,1102769,4445,-19,-8,-2,-8,-19,7
Alabama,2021-01-03,3213,75,392015,7360,,,,,,439,2,6543,13260015,1190533,4763,-16,-8,-7,-1,-17,6
Alabama,2021-01-04,6447,89,398462,7449,,,,,,429,2,9620,15490063,962896,3346,-5,2,-9,-9,-26,8
Alabama,2021-01-05,5241,69,403703,7518,,,,,,466,2,13973,14764662,946929,3174,-10,-1,-14,-12,-25,8
Alabama,2021-01-06,4504,79,408207,7597,,,,,,443,8,22889,15388629,906117,3784,-10,-3,-13,-12,-25,9
Alabama,2021-01-07,4315,79,412522,7676,,,,,,451,2,23001,14684042,922576,3887,-20,-7,-35,-20,-25,11
Alabama,2021-01-08,3797,71,416319,7747,,,,,,428,4,20479,16172762,899884,4348,-18,-10,-29,-19,-24,11
Alabama,2021-01-09,2305,81,418624,7828,,,,,,464,4,14983,15414772,1004182,4687,-16,-6,-27,-14,-9,6
Alabama,2021-01-10,2027,81,420651,7909,,,,,,391,4,8368,13518130,1091395,4711,-15,-5,-22,-15,-16,6
Alabama,2021-01-11,4220,85,424871,7994,,,,,,352,2,13480,14496291,998461,4296,-17,-5,-35,-22,-26,11
Alabama,2021-01-12,3417,77,428288,8071,78134.0,0.15,1.45,,,435,1,18947,14891050,953339,4318,-15,-7,-25,-15,-24,9
Alabama,2021-01-13,3224,83,431512,8154,84040.0,0.19,1.53,5906.0,1205.0,416,0,21976,15314055,930850,4385,-13,-6,-18,-14,-24,8
Alabama,2021-01-14,3210,94,434722,8248,92300.0,,1.64,7083.0,1445.0,395,3,20422,15829478,882102,3826,-17,-7,-17,-15,-24,8
Alabama,2021-01-15,3000,73,437722,8321,100567.0,0.28,1.77,7478.0,1525.0,407,3,18947,18288867,840695,3268,-18,-12,-16,-17,-24,9
Alabama,2021-01-16,1844,69,439566,8390,,,,7498.0,1529.0,395,2,10394,17931486,980641,2905,-19,-10,-15,-18,-11,5
Alabama,2021-01-17,1752,69,441318,8459,,,,7509.0,1531.0,300,4,2565,15392441,941411,4068,-19,-10,-7,-17,-19,5
Alabama,2021-01-18,3426,85,444744,8544,,,,7517.0,1533.0,339,3,13066,17690882,815554,4645,-14,-9,-4,-17,-43,12
Alabama,2021-01-19,3290,80,448034,8624,130795.0,0.33,2.33,7523.0,1534.0,353,1,19722,14950335,867621,3291,-19,-9,-18,-16,-23,8
Alabama,2021-01-20,2928,81,450962,8705,139200.0,0.37,2.47,7880.0,1607.0,360,0,19502,15714631,839795,3367,-16,-10,-10,-15,-24,8
Alabama,2021-01-21,2795,86,453757,8791,165919.0,0.44,2.95,10517.0,2145.0,316,3,18303,16618317,800971,3722,-21,-10,-29,-19,-23,10
Alabama,2021-01-22,2518,85,456275,8876,199314.0,0.51,3.56,14107.0,2877.0,321,1,18117,17475948,757762,3905,-20,-14,-22,-19,-22,10
Alabama,2021-01-23,1583,70,457858,8946,221540.0,0.56,3.96,16202.0,3304.0,265,5,10961,16503512,854122,3452,-18,-9,4,-16,-8,4
Alabama,2021-01-24,1617,71,459475,9017,243737.0,0.61,4.36,18294.0,3731.0,238,1,7485,14660063,982133,4941,-21,-11,-9,-20,-16,5
Alabama,2021-01-25,3323,64,462798,9081,250612.0,0.61,4.5,18196.0,3711.0,238,2,11969,15449944,829074,4392,-20,-11,-16,-18,-23,8
Alabama,2021-01-26,2850,73,465648,9154,254959.0,0.63,4.57,17738.0,3618.0,303,4,17746,16841559,801806,3846,-18,-10,-12,-16,-22,8
