FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
05107,AR,Phillips County,34.425842,-90.848386,31.3,29945,30.1,76.19%
06023,CA,Humboldt County,40.706673,-123.925818,37.7,49471,23.5,97.32%
06043,CA,Mariposa County,37.570034,-119.91286,12.6,51402,26.5,66.67%
08001,CO,Adams County,39.874325,-104.331872,378.2,70199,28.4,85.02%
08005,CO,Arapahoe County,39.644632,-104.331733,716.7,76665,20.7,69.78%
08014,CO,Broomfield County,39.953383,-105.052125,1691.9,96924,14.7,78.50%
08033,CO,Dolores County,37.747602,-108.530383,1.9,47482,38.3,66.67%
08035,CO,Douglas County,39.326435,-104.926199,339.7,120670,12.2,52.99%
08041,CO,El Paso County,38.827383,-104.527472,292.6,67923,20.2,80.49%
08043,CO,Fremont County,38.455658,-105.421438,30.5,47885,39.8,63.25%
08047,CO,Gilpin County,39.861082,-105.528947,36.3,72949,22,88.89%
08059,CO,Jefferson County,39.58646,-105.245601,699.5,85550,20.6,90.88%
08067,CO,La Plata County,37.287367,-107.839718,30.3,66219,20.3,66.04%
08083,CO,Montezuma County,37.338025,-108.595786,12.6,50180,29.4,60.87%
08123,CO,Weld County,40.555794,-104.383649,63.4,75629,27.5,92.63%
16015,ID,Boise County,43.987275,-115.715111,3.7,56837,27.4,85.71%
16039,ID,Elmore County,43.394826,-115.470751,8.8,49344,28,54.29%
16061,ID,Lewis County,46.236328,-116.42376,8,44911,29.4,50.00%
17007,IL,Boone County,42.318983,-88.824295,193,74507,35.2,93.81%
17031,IL,Cook County,41.894294,-87.645455,5495.1,63347,23.3,54.78%
17037,IL,DeKalb County,41.894613,-88.768991,166.6,63274,25.5,83.52%
17089,IL,Kane County,41.939594,-88.42804,990.8,79834,22.5,56.44%
17131,IL,Mercer County,41.204791,-90.741433,29.3,58384,39.3,62.16%
17143,IL,Peoria County,40.785999,-89.767358,301.2,56478,27,89.37%
17167,IL,Sangamon County,39.756378,-89.662311,227.4,62242,27.9,70.86%
17179,IL,Tazewell County,40.508074,-89.51626,208.6,61508,31.9,66.86%
18007,IN,Benton County,40.608253,-87.315479,21.8,51649,43.2,50.00%
18077,IN,Jefferson County,38.783604,-85.44009,89.9,51031,42.3,81.01%
18089,IN,Lake County,41.472239,-87.374337,994.1,55280,35,54.67%
18093,IN,Lawrence County,38.839815,-86.48782,102.7,53187,43.4,58.46%
18099,IN,Marshall County,41.325003,-86.269036,106.1,55766,39,96.05%
18127,IN,Porter County,41.509922,-87.071308,393,69298,34.5,82.43%
18135,IN,Randolph County,40.164414,-85.005004,57.9,46441,42.5,66.67%
18151,IN,Steuben County,41.643437,-85.002467,110.7,58295,38.3,62.50%
19003,IA,Adams County,41.021656,-94.696906,9.5,51577,39.1,50.00%
19033,IA,Cerro Gordo County,43.075171,-93.251266,77.7,51939,30.8,60.00%
19055,IA,Delaware County,42.473003,-91.359443,30.7,61342,43.1,64.00%
19083,IA,Hardin County,42.389955,-93.241081,30.8,55303,34.4,56.00%
19085,IA,Harrison County,41.688584,-95.827149,21.4,60044,38,64.29%
19117,IA,Lucas County,41.033344,-93.331467,20.7,49956,41.6,70.00%
19161,IA,Sac County,42.387526,-95.105224,18,56698,37.2,70.00%
19175,IA,Union County,41.02855,-94.245091,29.6,49887,36.3,60.00%
19195,IA,Worth County,43.373491,-93.248533,19,58587,37.2,90.91%
20025,KS,Clark County,37.233831,-99.813869,2.3,51235,27.5,50.00%
20115,KS,Marion County,38.359647,-97.102771,13.4,51712,30.9,55.56%
21181,KY,Nicholas County,38.337132,-84.025554,36.6,41428,42.5,72.73%
21237,KY,Wolfe County,37.743774,-83.495068,33.1,30144,37.8,72.73%
22077,LA,Pointe Coupee Parish,30.708319,-91.604621,40.9,46603,40.2,92.00%
23003,ME,Aroostook County,46.727057,-68.64941,10.8,39450,37.2,98.33%
23005,ME,Cumberland County,43.808348,-70.330375,337.2,71586,22.3,55.89%
23007,ME,Franklin County,44.973012,-70.444727,18.1,49561,37.2,69.77%
23015,ME,Lincoln County,43.994265,-69.514029,75.6,56211,33.2,97.87%
23019,ME,Penobscot County,45.390602,-68.657487,45.3,47840,33.6,64.86%
24001,MD,Allegany County,39.612309,-78.703108,177,43535,41.9,93.85%
24005,MD,Baltimore County,39.443167,-76.616569,1345.5,75836,26.2,74.73%
24510,MD,Baltimore city,39.300214,-76.610516,7671.5,50501,29.9,87.77%
25003,MA,Berkshire County,42.375314,-73.213948,141.6,58375,29.9,68.75%
