FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01051,AL,Elmore County,32.597229,-86.142739,128.2,60367,32.8,0.00%
02070,AK,Dillingham Census Area,59.824816,-158.602233,0.3,54524,39.2,0.00%
02100,AK,Haines Borough,59.099905,-135.578102,1.1,58943,30,0.00%
02130,AK,Ketchikan Gateway Borough,55.449938,-131.106685,2.8,68309,29.9,0.00%
02180,AK,Nome Census Area,64.783686,-164.188912,0.4,55318,42.9,0.00%
02188,AK,Northwest Arctic Borough,67.005066,-160.021086,0.2,59337,47.3,0.00%
02230,AK,Skagway Municipality,59.575097,-135.335418,2.1,74635,23.4,0.00%
04011,AZ,Greenlee County,33.238872,-109.242323,4.6,65818,36.2,0.00%
05065,AR,Izard County,36.094879,-91.913625,23.6,37828,37.8,0.00%
06007,CA,Butte County,39.665959,-121.601919,134.4,50945,22.7,0.00%
08029,CO,Delta County,38.861756,-107.864757,27.1,46786,38.2,0.00%
08033,CO,Dolores County,37.747602,-108.530383,1.9,47482,38.3,0.00%
08037,CO,Eagle County,39.630638,-106.692944,31,86896,15.7,0.00%
08049,CO,Grand County,40.123289,-106.095876,8,69214,26.5,0.00%
08061,CO,Kiowa County,38.388466,-102.75621,0.8,44704,38,0.00%
08105,CO,Rio Grande County,37.485763,-106.453214,13.1,44171,30.2,0.00%
08111,CO,San Juan County,37.781075,-107.670257,1.8,46878,26.7,0.00%
12085,FL,Martin County,27.079954,-80.398211,269.2,61592,25.2,0.00%
13007,GA,Baker County,31.319622,-84.454857,10.1,38288,38.9,0.00%
13037,GA,Calhoun County,31.521279,-84.62629,23.9,33393,39.3,0.00%
13061,GA,Clay County,31.619831,-84.992583,16.3,30239,42.3,0.00%
13181,GA,Lincoln County,33.792151,-82.448299,38,46967,41.4,0.00%
13197,GA,Marion County,32.359538,-84.529561,23.9,39114,38.1,0.00%
13209,GA,Montgomery County,32.172108,-82.533349,38.1,41834,39,0.00%
13239,GA,Quitman County,31.861487,-85.009317,16.6,33908,34.3,0.00%
13241,GA,Rabun County,34.883026,-83.404735,44,44213,34,0.00%
13265,GA,Taliaferro County,33.559314,-82.875208,8.8,34090,47.8,0.00%
13297,GA,Walton County,33.782649,-83.734215,257.2,65416,37.8,0.00%
13309,GA,Wheeler County,32.109276,-82.738701,25.1,32691,48.7,0.00%
15005,HI,Kalawao County,21.218764,-156.97401,7.5,NA,27.5,0.00%
15007,HI,Kauai County,22.012038,-159.705965,108.2,73981,30.1,0.00%
16003,ID,Adams County,44.884583,-116.431873,2.9,45311,37.7,0.00%
16025,ID,Camas County,43.463396,-114.804427,1,53866,38,0.00%
16035,ID,Clearwater County,46.67257,-115.6535,3.6,46417,34.8,0.00%
16041,ID,Franklin County,42.173589,-111.822955,19.3,58170,36.3,0.00%
16077,ID,Power County,42.694126,-112.844407,5.6,51921,33.9,0.00%
17003,IL,Alexander County,37.183683,-89.349506,35,35249,37.8,0.00%
17059,IL,Gallatin County,37.768677,-88.227964,17.3,43330,40.7,0.00%
17065,IL,Hamilton County,38.085226,-88.539005,19.5,53028,33.8,0.00%
17151,IL,Pope County,37.417169,-88.542374,12.1,43053,34.4,0.00%
17153,IL,Pulaski County,37.215615,-89.127755,30.9,38400,34.2,0.00%
17155,IL,Putnam County,41.19894,-89.298386,37.5,66319,38.5,0.00%
17203,IL,Woodford County,40.789596,-89.210301,73.3,72247,32.1,0.00%
18031,IN,Decatur County,39.30598,-85.499831,69.1,57441,43.8,0.00%
18045,IN,Fountain County,40.121282,-87.234806,43.6,53493,44.2,0.00%
18101,IN,Martin County,38.705322,-86.801847,30.8,55444,43.2,0.00%
18115,IN,Ohio County,38.940527,-84.964299,71.1,58022,45.6,0.00%
