FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
02068,AK,Denali Borough,63.682732,-150.026719,0.1,75477,26.1,175.00%
02150,AK,Kodiak Island Borough,57.553611,-153.630911,2.1,74109,31.3,133.33%
02220,AK,Sitka City and Borough,57.142509,-135.332624,3.1,71825,28.3,133.33%
02275,AK,Wrangell City and Borough,56.279121,-132.040326,0.9,57832,37.6,100.00%
04001,AZ,Apache County,35.385845,-109.493747,6.4,33652,33.1,379.07%
04012,AZ,La Paz County,33.727625,-114.038793,4.6,37350,33,233.33%
04017,AZ,Navajo County,35.390934,-110.320908,10.8,40650,30.1,12500.00%
05001,AR,Arkansas County,34.289574,-91.376547,19.2,43887,38.3,188.89%
05129,AR,Searcy County,35.90966,-92.699351,12.3,31659,45.1,200.00%
06005,CA,Amador County,38.44355,-120.653856,64.1,58515,28.7,112.50%
06035,CA,Lassen County,40.721089,-120.629931,7.7,57705,33.2,200.00%
06089,CA,Shasta County,40.760522,-122.04355,46.9,53908,24.8,1381.82%
08027,CO,Custer County,38.101994,-105.373515,5.8,55242,21,1000.00%
08029,CO,Delta County,38.861756,-107.864757,27.1,46786,38.2,130.00%
08035,CO,Douglas County,39.326435,-104.926199,339.7,120670,12.2,105.77%
08043,CO,Fremont County,38.455658,-105.421438,30.5,47885,39.8,130.00%
08051,CO,Gunnison County,38.669679,-107.078108,4.7,61268,16,169.23%
08053,CO,Hinsdale County,37.811625,-107.383405,0.8,62149,25.7,100.00%
08061,CO,Kiowa County,38.388466,-102.75621,0.8,44704,38,100.00%
08075,CO,Logan County,40.728091,-103.090464,12.4,53168,32.7,230.00%
08109,CO,Saguache County,38.033952,-106.246675,1.9,36869,29.8,200.00%
08111,CO,San Juan County,37.781075,-107.670257,1.8,46878,26.7,200.00%
12023,FL,Columbia County,30.221305,-82.623127,84.7,46195,36.1,151.35%
12047,FL,Hamilton County,30.491102,-82.951049,28.8,36299,44,140.00%
12065,FL,Jefferson County,30.424558,-83.890859,24.7,46332,33.3,133.33%
12077,FL,Liberty County,30.259849,-84.868581,10,40814,47.9,150.00%
13003,GA,Atkinson County,31.300562,-82.883614,24.7,36779,40.3,850.00%
13005,GA,Bacon County,31.563327,-82.387859,42.9,38775,41.9,3180.00%
13007,GA,Baker County,31.319622,-84.454857,10.1,38288,38.9,200.00%
13017,GA,Ben Hill County,31.740776,-83.14719,70.5,35020,44.2,366.67%
13035,GA,Butts County,33.290355,-83.958221,128.3,48831,44,230.77%
13037,GA,Calhoun County,31.521279,-84.62629,23.9,33393,39.3,900.00%
13061,GA,Clay County,31.619831,-84.992583,16.3,30239,42.3,600.00%
13065,GA,Clinch County,30.917653,-82.702614,8.5,37593,31.7,100.00%
13079,GA,Crawford County,32.709446,-83.979182,38.9,48004,39.4,200.00%
13091,GA,Dodge County,32.160656,-83.156818,44,35636,42.3,1000.00%
13101,GA,Echols County,30.7085,-82.836132,9.7,38667,38.2,500.00%
13103,GA,Effingham County,32.361711,-81.343337,109.4,65793,37.8,415.38%
13111,GA,Fannin County,34.863837,-84.319287,61.2,43439,34.3,120.83%
13155,GA,Irwin County,31.604306,-83.277037,26.9,38156,40.6,600.00%
13173,GA,Lanier County,31.038197,-83.063164,54.4,41564,35.7,166.67%
13175,GA,Laurens County,32.39322,-82.926317,60,42114,43.4,163.64%
13181,GA,Lincoln County,33.792151,-82.448299,38,46967,41.4,100.00%
13193,GA,Macon County,32.366216,-84.052162,36.8,32868,34.1,260.00%
13205,GA,Mitchell County,31.22894,-84.192407,45.9,36788,38.2,233.33%
13209,GA,Montgomery County,32.172108,-82.533349,38.1,41834,39,100.00%
13241,GA,Rabun County,34.883026,-83.404735,44,44213,34,190.00%
13283,GA,Treutlen County,32.409586,-82.570882,34.5,35069,38.9,400.00%
13299,GA,Ware County,31.050881,-82.421507,40.7,38357,40.9,100.00%
13309,GA,Wheeler County,32.109276,-82.738701,25.1,32691,48.7,500.00%
15007,HI,Kauai County,22.012038,-159.705965,108.2,73981,30.1,1000.00%
16023,ID,Butte County,43.6851,-113.177627,1.3,50050,36.9,400.00%
16029,ID,Caribou County,42.786273,-111.544172,3.9,61219,32.6,2700.00%
16039,ID,Elmore County,43.394826,-115.470751,8.8,49344,28,151.72%
16047,ID,Gooding County,42.973185,-114.82142,21.2,51302,37.2,140.00%
16071,ID,Oneida County,42.18389,-112.520465,3.6,52602,37,100.00%
17003,IL,Alexander County,37.183683,-89.349506,35,35249,37.8,700.00%
17005,IL,Bond County,38.885924,-89.436592,46.7,54800,36.8,180.00%
17015,IL,Carroll County,42.059084,-89.926485,34.6,51963,41.5,110.00%
17017,IL,Cass County,39.969202,-90.245705,36.3,52486,43.2,500.00%
17033,IL,Crawford County,39.00373,-87.757172,44.7,52313,29.9,200.00%
17039,IL,De Witt County,40.181499,-88.901853,41.7,55300,36.9,106.67%
17049,IL,Effingham County,39.047694,-88.592786,71.5,60773,36.4,264.29%
17051,IL,Fayette County,39.001125,-89.017923,30.9,47484,39.7,162.50%
17061,IL,Greene County,39.355444,-90.387757,25.6,47314,44.4,120.00%
17065,IL,Hamilton County,38.085226,-88.539005,19.5,53028,33.8,1400.00%
17067,IL,Hancock County,40.405792,-91.167988,24.1,53553,38.1,650.00%
17077,IL,Jackson County,37.786096,-89.381212,103.1,41445,23.7,196.97%
17079,IL,Jasper County,39.004874,-88.150763,19.6,54552,40.2,600.00%
17085,IL,Jo Daviess County,42.362391,-90.211471,37.7,56832,37.1,226.67%
17095,IL,Knox County,40.930941,-90.213761,73.9,44553,36.2,122.58%
17107,IL,Logan County,40.12907,-89.365308,49,52959,35,132.56%
17109,IL,McDonough County,40.455789,-90.677579,55.3,42887,30.6,181.48%
17113,IL,McLean County,40.494559,-88.844539,143.3,67087,25.1,101.62%
17125,IL,Mason County,40.236993,-89.913575,27.2,48764,44.2,152.94%
17143,IL,Peoria County,40.785999,-89.767358,301.2,56478,27,141.05%
17157,IL,Randolph County,38.056515,-89.82121,58.2,53607,39.3,158.82%
17159,IL,Richland County,38.71155,-88.085698,45.1,48152,29.9,137.50%
17171,IL,Scott County,39.63698,-90.477759,21.3,55198,48.7,133.33%
17179,IL,Tazewell County,40.508074,-89.51626,208.6,61508,31.9,116.20%
17185,IL,Wabash County,38.445821,-87.839167,53.5,53414,30.8,137.50%
17187,IL,Warren County,40.850441,-90.620223,32.6,53532,32.8,1300.00%
17195,IL,Whiteside County,41.750571,-89.910957,85.5,57197,37.1,130.16%
17201,IL,Winnebago County,42.337396,-89.161205,575.2,53795,32,112.37%
18071,IN,Jackson County,38.911957,-86.042516,83.2,55518,43.5,148.89%
18083,IN,Knox County,38.688663,-87.420182,74.5,48606,35.8,140.00%
18091,IN,LaPorte County,41.549011,-86.744729,186.3,52095,39.3,154.55%
18115,IN,Ohio County,38.940527,-84.964299,71.1,58022,45.6,200.00%
18125,IN,Pike County,38.397898,-87.232532,38.4,54265,42.6,500.00%
18135,IN,Randolph County,40.164414,-85.005004,57.9,46441,42.5,100.00%
18149,IN,Starke County,41.28322,-86.64757,75.6,49972,42.1,230.77%
18171,IN,Warren County,40.352658,-87.375847,23.3,60596,43.2,233.33%
19003,IA,Adams County,41.021656,-94.696906,9.5,51577,39.1,200.00%
19009,IA,Audubon County,41.679178,-94.904312,13.8,51210,40.1,233.33%
19055,IA,Delaware County,42.473003,-91.359443,30.7,61342,43.1,100.00%
19061,IA,Dubuque County,42.463481,-90.878771,154,60367,33,130.61%
19071,IA,Fremont County,40.743726,-95.599516,14.6,54658,35.9,114.29%
19077,IA,Guthrie County,41.683573,-94.501272,18.5,60306,38.6,140.00%
19103,IA,Johnson County,41.668737,-91.588812,213.1,64387,16.2,106.11%
19111,IA,Lee County,40.647588,-91.477157,69.3,48241,41,1500.00%
19137,IA,Montgomery County,41.021735,-95.15779,25.3,49966,37.1,233.33%
19143,IA,Osceola County,43.378542,-95.633788,16.2,60627,38.5,187.50%
19163,IA,Scott County,41.641679,-90.62229,360.7,59865,29.9,135.62%
19177,IA,Van Buren County,40.754117,-91.952943,15.6,47905,40.8,1100.00%
20007,KS,Barber County,37.222906,-98.685052,4.3,47634,34.9,100.00%
20011,KS,Bourbon County,37.8561,-94.850928,23.9,41807,30.8,161.54%
20013,KS,Brown County,39.825931,-95.569905,17.5,47529,36,266.67%
