FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01001,AL,Autauga County,32.536382,-86.64449,91.8,59338,32.6,-35.55%
01009,AL,Blount County,33.977448,-86.567246,88.9,50412,34,-40.83%
01021,AL,Chilton County,32.85406,-86.726628,63,47547,44.1,-30.32%
01027,AL,Clay County,33.267809,-85.862051,23.1,39201,36.3,-48.15%
01031,AL,Coffee County,31.402183,-85.989201,73.6,55122,27.9,-48.60%
01037,AL,Coosa County,32.931445,-86.243482,17.7,42423,38.6,-38.32%
01059,AL,Franklin County,34.441988,-87.842815,50,39388,36.8,-40.00%
01065,AL,Hale County,32.752796,-87.623061,24.5,34724,42.6,-45.45%
01075,AL,Lamar County,33.787085,-88.087431,24.1,40936,39.9,-45.00%
01077,AL,Lauderdale County,34.904122,-87.650997,138.8,48707,36,-20.74%
01095,AL,Marshall County,34.309564,-86.321668,164.4,46233,31.1,-15.34%
01097,AL,Mobile County,30.684573,-88.196568,335.9,43598,33.5,-44.11%
01113,AL,Russell County,32.289811,-85.18698,82.6,39104,32.3,-44.54%
01123,AL,Tallapoosa County,32.863369,-85.799553,58.1,42205,32.9,-20.43%
01131,AL,Wilcox County,31.99033,-87.302205,13.1,25385,40.3,-48.28%
02020,AK,Anchorage Municipality,61.177549,-149.274354,171.2,82113,23.8,-12.57%
02130,AK,Ketchikan Gateway Borough,55.449938,-131.106685,2.8,68309,29.9,-37.14%
02170,AK,Matanuska-Susitna Borough,62.182174,-149.407974,3.6,74649,32.2,-34.17%
02180,AK,Nome Census Area,64.783686,-164.188912,0.4,55318,42.9,-25.00%
02185,AK,North Slope Borough,69.449343,-153.47283,0.1,89276,43,-12.50%
04025,AZ,Yavapai County,34.630044,-112.573745,26,48758,25.7,-24.28%
05005,AR,Baxter County,36.28071,-92.330438,74.9,39686,35,-24.53%
05015,AR,Carroll County,36.337774,-93.541663,43.6,45023,34.6,-25.71%
05021,AR,Clay County,36.367302,-90.418704,25.2,37687,41.2,-11.11%
05031,AR,Craighead County,35.828268,-90.630411,136.4,45615,34.1,-34.45%
05035,AR,Crittenden County,35.211878,-90.315331,83.5,42606,35,-17.89%
05049,AR,Fulton County,36.383443,-91.819239,19.8,35630,37.2,-37.50%
05055,AR,Greene County,36.119922,-90.565241,72.9,46512,44.2,-47.76%
05075,AR,Lawrence County,36.041098,-91.101153,29.6,40308,40.4,-35.14%
