FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01043,AL,Cullman County,34.131923,-86.869267,109.4,45796,35.6,23.17%
01099,AL,Monroe County,31.580332,-87.383266,22.5,39556,46.1,8.00%
02110,AK,Juneau City and Borough,58.3727,-134.178781,11.6,79173,20.4,35.29%
02261,AK,Valdez-Cordova Census Area,61.34984,-145.023141,0.3,68528,32.7,20.00%
05003,AR,Ashley County,33.190835,-91.772267,23.6,41127,39.9,45.45%
06051,CA,Mono County,37.915836,-118.875167,4.7,66499,22.8,4.76%
06093,CA,Siskiyou County,41.587986,-122.533287,7.2,47560,25.5,47.22%
08003,CO,Alamosa County,37.568442,-105.788041,21.4,42897,27.3,11.63%
08013,CO,Boulder County,40.094826,-105.398382,405.6,83591,12.3,6.71%
08015,CO,Chaffee County,38.738246,-106.316972,17.6,56168,26.7,11.11%
08019,CO,Clear Creek County,39.689403,-105.670791,23,74019,20.9,40.00%
08031,CO,Denver County,39.761849,-104.880625,3922.6,68069,17,47.28%
08045,CO,Garfield County,39.599352,-107.90978,19.1,74421,28.5,14.61%
08069,CO,Larimer County,40.663091,-105.482131,115.4,71306,19.2,34.17%
08075,CO,Logan County,40.728091,-103.090464,12.4,53168,32.7,38.46%
08077,CO,Mesa County,39.019492,-108.461837,44.1,51132,27.3,6.31%
08081,CO,Moffat County,40.573984,-108.204521,2.9,59500,40.4,26.32%
08089,CO,Otero County,37.88417,-103.72126,14.9,40064,29.2,10.00%
08125,CO,Yuma County,40.000631,-102.422649,4.2,53253,33.5,42.11%
10001,DE,Kent County,39.097088,-75.502982,276.9,54980,33.2,2.68%
12021,FL,Collier County,26.118713,-81.400884,160.9,70649,25.4,0.65%
12057,FL,Hillsborough County,27.90659,-82.349568,1204.9,58361,27.1,8.39%
12071,FL,Lee County,26.552134,-81.89225,788.7,56343,30.8,35.82%
12097,FL,Osceola County,28.059027,-81.139312,202.4,50473,31.9,31.05%
12107,FL,Putnam County,29.606006,-81.740894,102.2,39578,40.7,4.76%
12115,FL,Sarasota County,27.184386,-82.365835,682.6,61652,29.1,3.60%
12127,FL,Volusia County,29.057617,-81.161813,449.2,50285,32.2,2.86%
13005,GA,Bacon County,31.563327,-82.387859,42.9,38775,41.9,18.18%
13241,GA,Rabun County,34.883026,-83.404735,44,44213,34,40.74%
15009,HI,Maui County,20.855931,-156.60155,133.3,78503,31.8,36.57%
16049,ID,Idaho County,45.849237,-115.467376,1.9,40569,35.1,12.50%
16075,ID,Payette County,44.00274,-116.748655,55.6,51835,33.7,26.09%
16079,ID,Shoshone County,47.347694,-115.885092,4.9,36085,38.5,28.57%
17011,IL,Bureau County,41.401304,-89.528377,40.2,56099,38.4,13.75%
17017,IL,Cass County,39.969202,-90.245705,36.3,52486,43.2,30.00%
17021,IL,Christian County,39.545524,-89.279593,49.1,52936,41.9,32.84%
17039,IL,De Witt County,40.181499,-88.901853,41.7,55300,36.9,47.37%
17043,IL,DuPage County,41.852058,-88.086038,2799.8,93540,18.3,24.13%
17045,IL,Edgar County,39.679037,-87.74711,29.8,51577,38.3,45.45%
17069,IL,Hardin County,37.517852,-88.266148,24.3,41713,32.9,18.18%
17075,IL,Iroquois County,40.748867,-87.833601,26.6,55247,39.9,2.04%
17077,IL,Jackson County,37.786096,-89.381212,103.1,41445,23.7,30.30%
17085,IL,Jo Daviess County,42.362391,-90.211471,37.7,56832,37.1,45.45%
17087,IL,Johnson County,37.460815,-88.882962,36.6,53884,31.5,33.33%
17091,IL,Kankakee County,41.139494,-87.861125,167.7,53884,33.6,30.43%
17099,IL,LaSalle County,41.343341,-88.885931,100.4,54063,35.6,49.83%
17105,IL,Livingston County,40.894376,-88.552852,37.3,59323,43.1,36.08%
17111,IL,McHenry County,42.324298,-88.452245,511.9,86268,26.2,41.20%
17121,IL,Marion County,38.648396,-88.920221,68.9,46096,35.2,3.85%
17139,IL,Moultrie County,39.636896,-88.625726,44.2,59901,33.2,5.26%
17147,IL,Piatt County,40.009056,-88.592328,38.1,67460,34.1,12.50%
17151,IL,Pope County,37.417169,-88.542374,12.1,43053,34.4,16.67%
17155,IL,Putnam County,41.19894,-89.298386,37.5,66319,38.5,15.00%
17161,IL,Rock Island County,41.468404,-90.572203,345,52642,29.9,14.92%
17171,IL,Scott County,39.63698,-90.477759,21.3,55198,48.7,40.00%
17183,IL,Vermilion County,40.18674,-87.726772,90.9,44638,41.1,9.13%
17195,IL,Whiteside County,41.750571,-89.910957,85.5,57197,37.1,0.58%
17197,IL,Will County,41.448474,-87.978456,809.6,86108,26.7,32.33%
17199,IL,Williamson County,37.730353,-88.930018,157.9,46187,30.6,5.66%
18023,IN,Clinton County,40.305944,-86.477567,82,51730,44.1,8.51%
18057,IN,Hamilton County,40.04987,-86.020586,696.4,101740,15.3,4.27%
18059,IN,Hancock County,39.822604,-85.772904,228.8,73831,32.8,12.50%
18073,IN,Jasper County,41.017688,-87.118814,59.8,66720,42.3,43.55%
