FIPS,State,Area_Name,Latitude,Longitude,DensityPerSquaremileOfLandarea-Population,Median_Household_Income_2018,Percent_of_adults_with_a_high_school_diploma_only_2014-18,Change%
01007,AL,Bibb County,33.015893,-87.127148,36.8,46064,47.3,93.33%
01119,AL,Sumter County,32.597481,-88.200057,15.2,27859,37.8,66.67%
02261,AK,Valdez-Cordova Census Area,61.34984,-145.023141,0.3,68528,32.7,71.43%
04021,AZ,Pinal County,32.91891,-111.367257,70,58848,29.7,80.26%
05019,AR,Clark County,34.053312,-93.176205,26.6,45408,30.5,60.00%
05091,AR,Miller County,33.305505,-93.901509,69.5,42162,35.9,55.17%
05093,AR,Mississippi County,35.766943,-90.052209,51.6,36718,38.6,70.00%
05099,AR,Nevada County,33.666699,-93.305072,14.6,37626,43.8,50.00%
05105,AR,Perry County,34.946363,-92.926877,18.9,45342,40.7,60.00%
06009,CA,Calaveras County,38.187844,-120.555115,44.7,62984,27.6,80.00%
06021,CA,Glenn County,39.602546,-122.4017,21.4,47365,28.2,60.00%
06025,CA,Imperial County,33.040816,-115.355395,41.8,46633,24.5,84.62%
06109,CA,Tuolumne County,38.021451,-119.964708,24.9,56500,28.4,55.56%
08039,CO,Elbert County,39.310817,-104.117928,12.5,98247,24.6,65.00%
08071,CO,Las Animas County,37.318831,-104.04411,3.2,41485,28.8,50.00%
09015,CT,Windham County,41.824999,-71.990702,230.9,65182,33,53.23%
10005,DE,Sussex County,38.677511,-75.335495,210.6,59821,32.8,78.23%
12003,FL,Baker County,30.324442,-82.302284,46.3,52804,42.8,57.14%
12005,FL,Bay County,30.237563,-85.631348,222.6,51777,31.4,70.77%
13027,GA,Brooks County,30.833696,-83.588971,32.9,36354,38.1,55.56%
13043,GA,Candler County,32.403986,-82.071446,45.3,35841,36.1,66.67%
13093,GA,Dooly County,32.151995,-83.807167,38.1,37278,39.6,72.73%
13107,GA,Emanuel County,32.5911,-82.299763,33.2,37574,42.9,75.00%
13113,GA,Fayette County,33.412717,-84.493941,548.3,95021,20.7,63.08%
13115,GA,Floyd County,34.263677,-85.21373,188.9,44906,33.1,59.77%
13145,GA,Harris County,32.731549,-84.912432,69,74686,23.5,52.63%
13163,GA,Jefferson County,33.051874,-82.41905,32.2,38274,41.3,50.00%
13169,GA,Jones County,33.020226,-83.562339,72.8,55737,36.7,62.50%
13215,GA,Muscogee County,32.510197,-84.874946,877.5,46628,27.3,94.89%
13219,GA,Oconee County,33.834125,-83.437728,178,99497,19.6,80.95%
13233,GA,Polk County,33.995961,-85.186826,133.6,43679,39.6,51.72%
13235,GA,Pulaski County,32.238794,-83.481855,48.2,40582,37.5,80.00%
13247,GA,Rockdale County,33.652081,-84.02637,656.5,59673,31.5,80.85%
13279,GA,Toombs County,32.126698,-82.332071,74.8,37148,38.5,70.59%
13281,GA,Towns County,34.90265,-83.732158,62.9,45853,30.8,60.00%
